,index,play_id,game_id,home_team,away_team,posteam,yardline_100,game_date,game_seconds_remaining,drive,goal_to_go,ydstogo,play_type,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam_score,defteam_score,spread,total,pos_EP_total,def_EP_total,pos_EP_pace,def_EP_pace,pos_fave,ends_TD,ends_FG,ends_punt,ends_other,pos_pp_cume_yds,pos_play_count,pos_yds_play,down_is_1.0,down_is_2.0,down_is_3.0,down_is_4.0,target_cat,target_num,is_EOH,pos_home,prediction,prob0,prob1,prob2,prob3,down,desc,end_of_poss
35901,443396,51,2018120208,PIT,LAC,LAC,75.0,2018-12-02,3600.0,1,0.0,10,pass,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,0.0,0.0,0,0,0,0,1,0.0,2,0.0,1,0,0,0,other,3,0,0,2.0,0.1908665633220729,0.039548963016031766,0.4226632586868276,0.3469212149750679,1.0,(15:00) P.Rivers pass short left to K.Allen to LAC 39 for 14 yards (B.Dupree) [S.Tuitt].,0
35902,443397,76,2018120208,PIT,LAC,LAC,61.0,2018-12-02,3563.0,1,0.0,10,run,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,-0.2543750000000013,-0.2852083333333348,0,0,0,0,1,14.0,3,4.666666666666667,1,0,0,0,other,3,0,0,2.0,0.22145508647026055,0.1452637641079824,0.33762166771094426,0.295659481710813,1.0,(14:23) A.Ekeler left guard to LAC 39 for no gain (V.Williams).,0
35903,443398,98,2018120208,PIT,LAC,LAC,61.0,2018-12-02,3521.0,1,0.0,10,pass,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,-0.5431249999999997,-0.6089583333333329,0,0,0,0,1,14.0,4,3.5,0,1,0,0,other,3,0,0,2.0,0.27974593173828466,0.07818876674288437,0.5514621591621591,0.09060314235667179,2.0,"(13:41) (Shotgun) P.Rivers pass short middle to K.Allen to PIT 43 for 18 yards (S.Davis). Penalty on PIT-T.Watt, Defensive Offside, declined.",0
35904,443399,134,2018120208,PIT,LAC,LAC,43.0,2018-12-02,3501.0,1,0.0,10,run,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,-0.6806249999999993,-0.7631249999999992,0,0,0,0,1,32.0,5,6.4,1,0,0,0,other,3,0,0,0.0,0.4870409251222844,0.18853418504253622,0.0890656431803792,0.23535924665480015,1.0,(13:21) T.Benjamin right tackle to PIT 42 for 1 yard (L.Fort).,0
35905,443400,156,2018120208,PIT,LAC,LAC,42.0,2018-12-02,3462.0,1,0.0,9,pass,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,-0.94875,-1.06375,0,0,0,0,1,33.0,6,5.5,0,1,0,0,other,3,0,0,0.0,0.42324738342530377,0.2616466070942323,0.20307584593412573,0.11203016354633817,2.0,(12:42) (Shotgun) P.Rivers pass short right to T.Benjamin pushed ob at PIT 44 for -2 yards (C.Sensabaugh).,0
35906,443401,181,2018120208,PIT,LAC,LAC,44.0,2018-12-02,3429.0,1,0.0,11,pass,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,-1.1756249999999997,-1.3181249999999995,0,0,0,0,1,31.0,7,4.428571428571429,0,0,1,0,other,3,0,0,2.0,0.18550291941068645,0.13566671645506598,0.46710564854183884,0.21172471559240888,3.0,(12:09) (Shotgun) P.Rivers pass short left to K.Allen to PIT 34 for 10 yards (L.Fort).,0
35907,443402,206,2018120208,PIT,LAC,LAC,34.0,2018-12-02,3384.0,1,0.0,1,field_goal,3.0,3.0,0.0,0.0,3.0,52.5,24.75,27.75,-1.4850000000000012,-1.6650000000000014,0,0,0,0,1,41.0,8,5.125,0,0,0,1,other,3,0,0,1.0,0.13083442882088053,0.35513334935076885,0.21081789777725257,0.3032143240510983,4.0,"(11:24) (Field Goal formation) M.Badgley 52 yard field goal is No Good, Wide Left, Center-M.Windt, Holder-D.Jones.",1
35908,443403,233,2018120208,PIT,LAC,PIT,58.0,2018-12-02,3379.0,2,0.0,10,run,3.0,3.0,0.0,0.0,3.0,52.5,27.75,24.75,-1.7035416666666685,-1.5193750000000013,1,1,0,0,0,0.0,1,0.0,1,0,0,0,TD,0,0,1,2.0,0.3094588388492707,0.15276154619209342,0.4297202190084075,0.10805939595022847,1.0,"(11:19) J.Conner left guard to PIT 44 for 2 yards (J.Bosa, D.Philon).",0
35909,443404,255,2018120208,PIT,LAC,PIT,56.0,2018-12-02,3343.0,2,0.0,8,pass,3.0,3.0,0.0,0.0,3.0,52.5,27.75,24.75,-1.9810416666666653,-1.7668749999999986,1,1,0,0,0,2.0,2,1.0,0,1,0,0,TD,0,0,1,2.0,0.2500794546194545,0.18316112554112546,0.4835127376327375,0.08324668220668223,2.0,(10:43) (Shotgun) B.Roethlisberger pass short left to A.Brown ran ob at LAC 47 for 9 yards.,0
35910,443405,286,2018120208,PIT,LAC,PIT,47.0,2018-12-02,3310.0,2,0.0,10,pass,3.0,3.0,0.0,0.0,3.0,52.5,27.75,24.75,-2.235416666666668,-1.9937500000000008,1,1,0,0,0,11.0,3,3.6666666666666665,1,0,0,0,TD,0,0,1,0.0,0.4599537794849179,0.13692908757209216,0.2235531603547775,0.17956397258821252,1.0,(10:10) B.Roethlisberger pass deep left to A.Brown to LAC 1 for 46 yards (C.Hayward).,0
